{'t': '26.50', 'h': '52.90', 'time': '1657534935.96'}
{'t': '26.50', 'h': '52.80', 'time': '1657534941.08'}
{'t': '26.50', 'h': '52.90', 'time': '1657534946.2'}
{'t': '26.50', 'h': '52.60', 'time': '1657534951.43'}
{'t': '26.50', 'h': '52.70', 'time': '1657534956.55'}
{'t': '26.50', 'h': '52.60', 'time': '1657534961.57'}
{'t': '26.50', 'h': '52.50', 'time': '1657534966.68'}
{'t': '26.50', 'h': '52.60', 'time': '1657534971.8'}
{'t': '26.50', 'h': '52.70', 'time': '1657534976.92'}
{'t': '26.50', 'h': '52.80', 'time': '1657534981.94'}
{'t': '26.50', 'h': '52.70', 'time': '1657534986.98'}
{'t': '26.50', 'h': '52.80', 'time': '1657534992.08'}
{'t': '26.50', 'h': '52.70', 'time': '1657534997.2'}
{'t': '26.50', 'h': '52.60', 'time': '1657535002.32'}
{'t': '26.50', 'h': '52.50', 'time': '1657535007.44'}
{'t': '26.50', 'h': '52.60', 'time': '1657535012.56'}
{'t': '26.50', 'h': '52.90', 'time': '1657535017.6'}
{'t': '26.50', 'h': '52.80', 'time': '1657535022.7'}
{'t': '26.50', 'h': '52.70', 'time': '1657535027.82'}
{'t': '26.50', 'h': '52.80', 'time': '1657535032.94'}
{'t': '26.50', 'h': '53.00', 'time': '1657535038.06'}
{'t': '26.50', 'h': '53.00', 'time': '1657535043.18'}
{'t': '26.50', 'h': '53.00', 'time': '1657535048.3'}
{'t': '26.50', 'h': '52.80', 'time': '1657535053.42'}
{'t': '26.50', 'h': '52.90', 'time': '1657535058.54'}
{'t': '26.50', 'h': '52.90', 'time': '1657535063.66'}
{'t': '26.50', 'h': '52.80', 'time': '1657535068.78'}
{'t': '26.50', 'h': '52.90', 'time': '1657535073.9'}
{'t': '26.50', 'h': '52.80', 'time': '1657535079.02'}
{'t': '26.50', 'h': '52.40', 'time': '1657535084.14'}
{'t': '26.50', 'h': '52.40', 'time': '1657535089.26'}
{'t': '26.50', 'h': '52.30', 'time': '1657535094.38'}
{'t': '26.50', 'h': '52.30', 'time': '1657535099.5'}
{'t': '26.50', 'h': '52.30', 'time': '1657535104.62'}
{'t': '26.50', 'h': '52.50', 'time': '1657535109.74'}
{'t': '26.50', 'h': '52.60', 'time': '1657535114.86'}
{'t': '26.50', 'h': '52.80', 'time': '1657535119.98'}
{'t': '26.50', 'h': '52.90', 'time': '1657535125.1'}
{'t': '26.50', 'h': '53.00', 'time': '1657535130.22'}
{'t': '26.50', 'h': '52.60', 'time': '1657535135.44'}
{'t': '26.50', 'h': '52.50', 'time': '1657535140.56'}
{'t': '26.50', 'h': '52.80', 'time': '1657535145.68'}
{'t': '26.50', 'h': '52.90', 'time': '1657535150.81'}
{'t': '26.50', 'h': '53.20', 'time': '1657535155.93'}
{'t': '26.50', 'h': '53.40', 'time': '1657535161.04'}
{'t': '26.50', 'h': '53.40', 'time': '1657535166.16'}
{'t': '26.50', 'h': '53.00', 'time': '1657535171.28'}
{'t': '26.50', 'h': '52.50', 'time': '1657535176.4'}
{'t': '26.50', 'h': '52.60', 'time': '1657535181.53'}
{'t': '26.50', 'h': '52.90', 'time': '1657535186.64'}
{'t': '26.50', 'h': '53.20', 'time': '1657535191.76'}
{'t': '26.50', 'h': '53.20', 'time': '1657535196.88'}
{'t': '26.50', 'h': '53.20', 'time': '1657535202.0'}
{'t': '26.50', 'h': '53.30', 'time': '1657535207.12'}
{'t': '26.50', 'h': '53.50', 'time': '1657535212.24'}
{'t': '26.50', 'h': '53.40', 'time': '1657535217.37'}
{'t': '26.50', 'h': '53.30', 'time': '1657535222.48'}
{'t': '26.50', 'h': '53.00', 'time': '1657535227.6'}
{'t': '26.50', 'h': '53.20', 'time': '1657535232.72'}
{'t': '26.50', 'h': '53.10', 'time': '1657535237.85'}
{'t': '26.50', 'h': '53.00', 'time': '1657535242.87'}
{'t': '26.50', 'h': '52.90', 'time': '1657535247.98'}
{'t': '26.50', 'h': '53.00', 'time': '1657535253.1'}
{'t': '26.50', 'h': '53.10', 'time': '1657535258.22'}
{'t': '26.50', 'h': '52.90', 'time': '1657535263.45'}
{'t': '26.50', 'h': '53.10', 'time': '1657535268.57'}
{'t': '26.50', 'h': '53.30', 'time': '1657535273.69'}
{'t': '26.50', 'h': '53.10', 'time': '1657535278.81'}
{'t': '26.50', 'h': '53.00', 'time': '1657535283.93'}
{'t': '26.50', 'h': '53.00', 'time': '1657535289.05'}
{'t': '26.50', 'h': '52.90', 'time': '1657535294.17'}
{'t': '26.50', 'h': '53.00', 'time': '1657535299.29'}
{'t': '26.50', 'h': '53.30', 'time': '1657535304.41'}
{'t': '26.50', 'h': '53.40', 'time': '1657535309.53'}
{'t': '26.50', 'h': '53.30', 'time': '1657535314.65'}
{'t': '26.50', 'h': '53.50', 'time': '1657535319.77'}
{'t': '26.50', 'h': '53.40', 'time': '1657535324.89'}
{'t': '26.50', 'h': '53.30', 'time': '1657535330.01'}
{'t': '26.50', 'h': '53.10', 'time': '1657535335.13'}
{'t': '26.60', 'h': '52.90', 'time': '1657535340.25'}
{'t': '26.50', 'h': '52.90', 'time': '1657535345.27'}
{'t': '26.50', 'h': '53.10', 'time': '1657535350.39'}
{'t': '26.50', 'h': '52.80', 'time': '1657535355.51'}
{'t': '26.50', 'h': '52.90', 'time': '1657535360.63'}
{'t': '26.50', 'h': '53.00', 'time': '1657535365.75'}
{'t': '26.50', 'h': '53.00', 'time': '1657535370.87'}
{'t': '26.50', 'h': '53.30', 'time': '1657535375.99'}
{'t': '26.50', 'h': '53.20', 'time': '1657535381.11'}
{'t': '26.50', 'h': '53.30', 'time': '1657535386.23'}
{'t': '26.50', 'h': '53.30', 'time': '1657535391.35'}
{'t': '26.50', 'h': '53.40', 'time': '1657535396.47'}
{'t': '26.50', 'h': '53.50', 'time': '1657535401.59'}
{'t': '26.50', 'h': '53.50', 'time': '1657535406.71'}
{'t': '26.50', 'h': '53.40', 'time': '1657535411.83'}
{'t': '26.50', 'h': '53.10', 'time': '1657535416.95'}
{'t': '26.50', 'h': '52.80', 'time': '1657535422.07'}
{'t': '26.50', 'h': '52.90', 'time': '1657535427.19'}
{'t': '26.50', 'h': '53.30', 'time': '1657535432.31'}
{'t': '26.50', 'h': '53.50', 'time': '1657535437.43'}
{'t': '26.50', 'h': '53.30', 'time': '1657535442.55'}
{'t': '26.50', 'h': '52.90', 'time': '1657535447.67'}
{'t': '26.50', 'h': '52.90', 'time': '1657535452.79'}
{'t': '26.50', 'h': '52.60', 'time': '1657535457.91'}
{'t': '26.50', 'h': '52.40', 'time': '1657535463.03'}
{'t': '26.50', 'h': '52.30', 'time': '1657535468.15'}
{'t': '26.50', 'h': '52.60', 'time': '1657535473.27'}
{'t': '26.50', 'h': '52.80', 'time': '1657535478.39'}
{'t': '26.50', 'h': '53.00', 'time': '1657535483.51'}
